City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
127,avera,1,US,1522442100,40,33.19,-82.53,71.6,18.34
128,almazar,80,UZ,1522441800,55,40.32,69.01,62.6,11.18
129,roald,0,NO,1522443000,73,62.58,6.12,30.2,2.82
130,padang,92,ID,1522444082,100,-0.92,100.36,79.89,7.63
131,prince rupert,1,CA,1522440000,81,54.32,-130.32,42.8,8.05
132,thinadhoo,8,MV,1522444083,100,0.53,72.93,84.61,8.63
133,faanui,68,PF,1522444083,99,-16.48,-151.75,82.72,12.33
134,bandarbeyla,0,SO,1522444084,100,9.49,50.81,79.71,9.19
135,belmonte,68,PT,1522444084,95,40.36,-7.35,42.09,13.78
136,qaanaaq,0,GL,1522444092,81,77.48,-69.36,-5.12,6.17
137,puerto ayora,20,EC,1522440000,69,-0.74,-90.35,82.4,13.87
138,camopi,88,GF,1522444086,91,3.17,-52.33,77.28,2.37
139,zeya,48,RU,1522444093,60,53.74,127.27,11.62,2.26
140,lebu,0,ET,1522444086,58,8.96,38.73,52.26,5.95
141,gushikawa,40,JP,1522443360,68,26.35,127.87,69.8,14.99
142,provideniya,92,RU,1522444095,95,64.42,-173.23,31.33,21.61
143,roma,20,IT,1522441200,82,41.89,12.48,59.0,2.24
144,yulara,20,AU,1522440000,42,-25.24,130.99,68.0,6.93
145,acajutla,20,SV,1522439400,56,13.59,-89.83,96.8,4.7
146,airai,68,TL,1522443859,95,-8.93,125.41,69.63,1.03
147,kapchorwa,44,UG,1522444098,95,1.4,34.45,60.76,2.15
148,kapaa,40,US,1522442340,78,22.08,-159.32,78.8,14.99
149,guerrero negro,0,MX,1522444009,34,27.97,-114.04,80.2,10.65
150,bontang,88,ID,1522444099,100,0.12,117.47,78.99,2.71
151,kodiak,40,US,1522439580,40,39.95,-94.76,53.6,11.41
152,conway,1,US,1522442100,33,35.09,-92.44,64.4,8.05
153,chapais,1,CA,1522440000,38,49.78,-74.86,24.8,12.75
154,fershampenuaz,0,RU,1522444094,61,53.52,59.82,3.84,5.73
155,katsuura,0,JP,1522444102,93,33.93,134.5,37.41,4.16
156,horsham,0,AU,1522444103,89,-36.71,142.2,44.47,2.82
157,coahuayana,0,MX,1522444096,21,18.62,-100.35,88.26,3.04
158,castro,56,CL,1522444096,80,-42.48,-73.76,57.16,4.27
159,cabo san lucas,40,MX,1522439280,26,22.89,-109.91,82.4,11.41
160,enkoping,0,SE,1522443000,58,59.64,17.08,26.6,4.7
161,batagay,20,RU,1522444097,53,67.65,134.64,-10.7,3.15
162,puro,68,PH,1522444105,100,13.13,123.76,71.61,3.15
163,mangan,92,IN,1522444098,80,27.5,88.54,22.6,1.59
164,kieta,12,PG,1522444084,100,-6.22,155.63,78.85,4.5
165,bageshwar,0,IN,1522444107,58,29.85,79.77,30.97,2.37
166,namibe,0,AO,1522444100,100,-15.19,12.15,78.18,11.54
167,hirado,0,JP,1522444108,100,33.32,129.49,56.94,12.66
168,magadi,40,IN,1522443600,88,12.96,77.22,73.4,4.7
169,hilo,75,US,1522439760,74,19.71,-155.08,78.8,10.29
170,port hedland,32,AU,1522441800,65,-20.31,118.58,82.4,6.93
171,alofi,92,NU,1522444008,100,-19.06,-169.92,81.28,3.04
172,narsaq,44,GL,1522443000,37,60.91,-46.05,37.4,5.82
173,saryozek,88,KZ,1522444111,63,44.36,77.98,49.38,2.93
174,fort nelson,5,CA,1522440000,36,58.81,-122.69,12.2,4.7
175,sindou,32,BF,1522444104,71,10.66,-5.16,80.56,5.17
176,tabou,24,CI,1522444112,99,4.42,-7.36,83.31,8.63
177,aloleng,56,PH,1522444105,100,16.13,119.78,74.98,7.74
178,bethel,1,US,1522439580,63,60.79,-161.76,26.6,5.82
179,kilindoni,0,TZ,1522444107,100,-7.91,39.67,82.41,7.63
180,dikson,36,RU,1522443862,89,73.51,80.55,-3.55,23.85
181,adrar,0,DZ,1522440000,18,27.87,-0.29,78.8,5.82
182,narino,88,CO,1522444109,85,5.61,-75.18,73.14,1.7
183,half moon bay,1,US,1522442400,52,37.46,-122.43,78.8,9.17
184,diveyevo,20,RU,1522444110,74,55.04,43.25,12.16,7.74
185,kosh-agach,56,RU,1522444110,52,49.99,88.66,34.75,23.06
186,salalah,20,OM,1522439400,83,17.01,54.1,78.8,5.73
187,caramay,0,PH,1522444111,100,10.18,119.24,77.19,6.62
188,beringovskiy,76,RU,1522443881,90,63.05,179.32,34.44,17.58
189,mehamn,76,NO,1522444112,90,71.03,27.85,27.78,12.88
190,farafangana,44,MG,1522444112,100,-22.82,47.83,76.96,4.27
191,svetlogorsk,20,RU,1522441800,51,53.14,59.15,14.0,6.71
192,iralaya,20,HN,1522440000,62,15.0,-83.23,89.6,8.05
193,pisco,0,PE,1522440000,65,-13.71,-76.2,77.0,8.05
194,cherskiy,88,RU,1522444114,79,68.75,161.3,8.74,2.71
195,oistins,40,BB,1522440000,74,13.07,-59.53,80.6,4.7
196,mount isa,0,AU,1522440000,72,-20.73,139.49,68.0,3.36
197,mezen,0,RU,1522444115,72,65.85,44.24,1.09,2.26
198,cayenne,90,GF,1522441800,69,4.94,-52.33,82.4,9.17
199,tiarei,40,PF,1522441800,70,-17.53,-149.33,86.0,13.87
200,lehigh acres,1,US,1522439580,54,26.63,-81.62,84.2,12.75
201,yarmouth,75,GB,1522443000,100,50.71,-1.5,39.2,3.36
202,korem,0,ET,1522444117,76,12.51,39.52,48.61,1.36
203,pontiac,1,US,1522442100,28,42.64,-83.29,46.4,3.36
204,barra patuca,0,HN,1522444126,83,15.8,-84.28,82.18,12.77
205,kalabo,68,ZM,1522444119,98,-15.0,22.67,65.98,3.38
206,olinda,40,EC,1522440000,58,-2.03,-79.75,87.8,5.82
207,lokosovo,8,RU,1522444128,72,61.13,74.84,6.22,11.65
208,porto nacional,20,BR,1522440000,83,-10.7,-48.41,82.4,4.7
209,westport,64,IE,1522444129,88,53.8,-9.52,41.23,12.77
210,darhan,0,MN,1522443836,56,49.49,105.92,36.46,5.84
211,ossora,88,RU,1522444130,90,59.24,163.07,22.6,4.38
212,batemans bay,88,AU,1522444123,100,-35.71,150.18,61.57,1.25
213,atambua,36,ID,1522444123,100,-9.11,124.89,76.11,3.6
214,severo-kurilsk,88,RU,1522444132,100,50.68,156.12,28.14,10.2
215,beaufort,75,MY,1522441800,88,5.36,115.76,75.2,5.82
216,san cristobal,75,EC,1522441200,93,-0.39,-78.55,57.2,9.17
217,saint-joseph,20,FR,1522441800,87,43.56,6.97,55.4,5.82
218,grand gaube,75,MU,1522440000,83,-20.01,57.66,80.6,9.17
219,jinji,24,CN,1522444127,100,22.16,112.49,62.56,2.48
220,saskylakh,32,RU,1522444135,60,71.97,114.09,-13.04,11.1
221,nhulunbuy,0,AU,1522442280,100,-12.18,136.78,73.4,4.72
222,berlevag,68,NO,1522443981,100,70.86,29.09,28.23,12.55
223,saint george,0,GR,1522439400,87,39.45,22.34,50.0,4.7
224,acapulco,5,MX,1522439340,58,16.86,-99.88,84.2,8.05
225,ixtapa,40,MX,1522439040,74,20.71,-105.21,78.8,16.11
226,bulancak,36,TR,1522444138,100,40.94,38.23,37.86,1.7
227,wegorzewo,48,PL,1522444131,94,54.22,21.74,29.26,6.73
228,carmarthen,88,GB,1522439400,81,51.86,-4.31,44.6,10.29
229,sorland,12,NO,1522444132,100,67.67,12.69,37.14,15.46
230,mizdah,8,LY,1522444140,25,31.45,12.98,62.11,9.75
231,sicamous,90,CA,1522440240,86,50.84,-118.99,41.0,5.82
232,wajir,68,KE,1522444133,77,1.75,40.07,76.78,3.94
233,abalak,0,NE,1522444134,19,15.46,6.28,76.24,9.42
234,bashtanka,80,UA,1522444134,92,47.4,32.45,37.59,9.75
235,kurtamysh,0,RU,1522444135,79,54.91,64.43,10.59,10.65
236,susangerd,24,IR,1522441800,33,31.56,48.19,71.6,11.41
237,agua dulce,40,MX,1522438980,65,18.14,-94.15,80.6,23.04
238,kirkland lake,75,CA,1522440000,34,48.15,-80.03,33.8,9.17
239,zambezi,56,ZM,1522444137,97,-13.55,23.12,66.52,2.71
240,lima,8,PE,1522444082,64,-12.06,-77.04,70.08,2.59
241,collie,68,AU,1522444145,96,-33.36,116.15,60.4,12.33
242,waipawa,0,NZ,1522444138,65,-39.94,176.59,60.54,6.06
243,weiser,1,US,1522443180,34,44.25,-116.97,64.4,5.82
244,maceio,0,BR,1522443600,94,-9.67,-35.74,73.4,8.41
245,warmbad,0,DE,1522443000,88,50.67,13.08,42.8,8.05
246,leningradskiy,68,RU,1522444140,89,69.38,178.42,26.88,11.65
247,cerrito,40,CO,1522440000,65,6.84,-72.7,80.6,4.7
248,chhatak,0,BD,1522444148,88,25.03,91.67,60.94,2.93
249,presidencia roque saenz pena,80,AR,1522444149,82,-26.79,-60.44,81.33,3.15
250,leh,12,IN,1522443904,61,34.16,77.58,-12.95,0.58
251,aksaray,75,TR,1522441200,87,38.37,34.03,46.4,2.24
252,nueve de julio,0,AR,1522444142,28,-31.67,-68.39,84.84,1.25
253,chara,0,GR,1522443000,87,39.42,22.43,48.2,5.82
254,christchurch,80,NZ,1522441800,55,-43.53,172.64,64.4,9.17
255,kruisfontein,24,ZA,1522444145,95,-34.0,24.73,63.55,2.37
256,victoria,75,BN,1522441800,94,5.28,115.24,75.2,1.59
257,bambanglipuro,48,ID,1522444146,99,-7.95,110.28,71.38,3.71
258,cuamba,80,MZ,1522444147,93,-14.8,36.54,70.3,2.93
259,antalaha,64,MG,1522444132,97,-14.9,50.28,75.21,10.31
260,richards bay,64,ZA,1522443868,85,-28.77,32.06,74.44,9.64
261,longyearbyen,40,NO,1522443000,77,78.22,15.63,1.4,10.29
262,nizwa,0,OM,1522444148,23,22.93,57.53,61.44,3.15
263,scarborough,92,GB,1522443000,93,54.28,-0.41,42.8,14.99
264,bilibino,56,RU,1522444149,82,68.06,166.44,23.64,5.73
265,klyuchi,8,RU,1522444150,67,52.25,79.17,16.12,12.88
266,sumbuya,8,SL,1522444150,64,7.65,-11.96,83.98,6.4
267,cascais,75,PT,1522441800,81,38.7,-9.42,55.4,11.41
268,vao,8,EE,1522444151,86,59.1,26.19,23.91,5.73
269,port-gentil,40,GA,1522440000,83,-0.72,8.78,84.2,8.05
270,aldan,0,RU,1522444152,76,58.61,125.39,-4.76,2.37
271,sakaiminato,0,JP,1522440000,74,35.55,133.23,35.6,5.82
272,quelimane,20,MZ,1522440000,83,-17.88,36.89,80.6,4.7
273,camargo,0,MX,1522444153,8,27.69,-105.17,82.54,11.99
274,saint anthony,40,US,1522439760,40,43.97,-111.68,53.6,24.16
275,ugoofaaru,0,MV,1522444154,100,5.67,73.0,83.8,9.19
276,nago,40,IT,1522441200,71,45.88,10.89,57.2,4.7
277,severo-yeniseyskiy,56,RU,1522444155,65,60.37,93.04,17.2,10.31
278,palmer,20,AU,1522441800,87,-34.85,139.16,51.8,2.71
279,itarema,88,BR,1522444155,90,-2.92,-39.92,79.3,3.94
280,dali,0,CN,1522444156,100,25.6,100.24,40.78,1.7
